"","X","pais","lib.democracy","va","rl","pp.urbana","PS.legitimacy","F.economy","cc","rq","expec","mort.intantil","sec.erollment","cres.PIB","desemprego","inequality.index","eff.DEA","catg_democracy","eff.ajust","bias"
"98",98,"Serbia",0.253,-0.06,-0.07,57.113,3.9,6.1,-0.45,0.14,76.7693,0.4956,90.33773,1.00044944962924,8.683,36.829998,0.758434654599045,1,0.723949366347531,0.0344852882515141
"99",99,"Sierra Leone",0.384,-0.3,-0.83,44.3,8.6,8.5,-0.57,-1.06,61.7858,9.718699,70.72813,1.00034147152764,3.174,46.239998,0.932870126790144,2,0.867327597216007,0.0655425295741374
"100",100,"Singapore",0.331,-0.07,1.75,100,1,1,2.04,2.31,83.7362,0.2225,103.04188,0.999628186715044,3.472,45.170002,0.661727243374011,2,0.639768199062097,0.0219590443119138
"101",101,"Slovenia",0.653,1.08,1.04,56.088,2.4,3.2,0.78,0.73,81.6034,0.22230001,107.87481,1.00017088067953,3.627,29.44,0.674672275251039,3,0.655727301105118,0.0189449741459212
"102",102,"South Africa",0.584,0.74,0.09,68.819,7.1,8.1,-0.28,-0.22,66.1387,3.7368999,111.80196,0.999936994336482,27.988,65.08,1,3,0.833550599567093,0.166449400432907
"103",103,"Spain",0.757,1.19,0.82,81.552,2.9,4.5,0.63,0.69,83.6703,0.2886,119.11492,1.00014252760907,12.144,33.73,0.703355570030286,4,0.67672802930632,0.0266275407239669
"104",104,"Sri Lanka",0.421,-0.23,-0.09,19.211,6,8.3,-0.38,-0.51,77.4828,0.6276,91.014,0.999834042145021,6.36,49.34,0.738104076010038,2,0.692568269680093,0.0455358063299447
"105",105,"Sudan",0.046,-1.6,-1.67,36.342,8.6,9.3,-1.5,-1.6,66.331,5.0288,48.36204,0.997883568172755,11.449,44.32,1,0,0.830599681450704,0.169400318549296
"106",106,"Suriname",0.631,0.35,-0.06,66.411,4.7,7.7,-0.4,-0.73,73.631,1.6091999,65.60985,1.0001606597119,7.704,51.81,0.81932401985268,3,0.744371561746146,0.0749524581065334
"107",107,"Sweden",0.852,1.57,1.6,88.738,1,1.3,2.03,1.72,83.2624,0.2354,139.40652,0.999921918854145,7.587,30.59,0.679507192572746,4,0.665136465404507,0.014370727168239
"108",108,"Switzerland",0.844,1.67,1.76,74.202,1.6,1.6,2.02,1.73,83.9536,0.36180001,103.39236,0.999945820576986,4.05,30.24,0.654167542326048,4,0.637676322678026,0.0164912196480224
"109",109,"Tanzania",0.39,-0.53,-0.37,37.409,8.4,6.2,-0.32,-0.59,66.9953,3.8976002,27.90807,1.00020809925188,2.607,50.68,1,2,0.851039145248899,0.148960854751101
"110",110,"Thailand",0.228,-0.45,0.24,53.608,3.5,3.5,-0.49,0.16,76.4115,0.81049997,109.518,1.00019339949935,0.913,52.100002,0.777772786814621,1,0.745817992767259,0.0319547940473615
"111",111,"Togo",0.215,-0.78,-0.53,44.49,8.1,7,-0.62,-0.49,62.7387,5.8469,64.2909,1.00039536861384,2.048,45.92,0.906953571383722,1,0.867952310411913,0.0390012609718091
"112",112,"Turkmenistan",0.036,-1.88,-1.49,54.003,4.1,5.1,-1.42,-2.07,70.0727,3.9508,95.69634,1.00043624301861,4.12,48.629997,1,0,0.82593115319743,0.17406884680257
"113",113,"United Arab Emirates",0.078,-1.09,0.88,87.779,2.1,1.6,1.07,1.04,82.9091,0.5974,120.35365,0.99995784900497,2.706,48.629997,0.684634120460476,0,0.662341753237989,0.0222923672224868
"114",114,"United Kingdom",0.772,1.26,1.4,84.642,2.6,5,1.48,1.54,81.3015,0.42399997,111.90919,0.999951933525169,4.055,36.559998,0.675535673050527,4,0.65832855313532,0.0172071199152075
"115",115,"United States",0.772,0.88,1.33,83.298,2.2,2.1,1.12,1.39,79.3043,0.61609995,97.47349,1.00023826741666,3.625,46.76,0.716239118340416,4,0.696138826084179,0.020100292256237
"116",116,"Uruguay",0.77,1.28,0.72,95.771,3.2,4.1,1.57,0.68,78.1385,0.67579997,120.765,1.00004513691483,8.354,45.969997,0.728686683667609,4,0.698191817262846,0.0304948664047637
"117",117,"Uzbekistan",0.081,-1.31,-0.83,50.532,4,5.1,-0.81,-0.58,72.3884,1.3594,88.413,1.00041646699559,4.526,45.59,0.788804585624436,0,0.738315104556274,0.0504894810681618
